epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1151.48,0.4895,0.32456,0.81074,0.95799,0.91602,0.95352,0.7219,0.5589,0.35252,0.71346,0.000660045,0.000660045,0.000660045
43,1179.88,0.4936,0.32248,0.80788,0.93167,0.93436,0.951,0.72705,0.56175,0.33096,0.71541,0.000649046,0.000649046,0.000649046
44,1207.99,0.48642,0.31855,0.80531,0.95436,0.92909,0.96255,0.71853,0.55883,0.33589,0.71166,0.000638047,0.000638047,0.000638047
45,1236.13,0.482,0.31625,0.80829,0.97535,0.91357,0.95561,0.72397,0.55451,0.35693,0.71605,0.000627048,0.000627048,0.000627048
46,1262.46,0.4799,0.31988,0.80274,0.96727,0.91199,0.95056,0.7252,0.56144,0.35001,0.71552,0.000616049,0.000616049,0.000616049
47,1290.24,0.48472,0.318,0.80953,0.93994,0.94166,0.95752,0.73027,0.60005,0.34467,0.71843,0.000605051,0.000605051,0.000605051
48,1318.78,0.47848,0.32009,0.80614,0.94677,0.92048,0.93915,0.73289,0.57445,0.32408,0.71385,0.000594052,0.000594052,0.000594052
49,1347.13,0.46852,0.30553,0.80932,0.93262,0.91976,0.93547,0.73199,0.55256,0.31252,0.71106,0.000583053,0.000583053,0.000583053
50,1375.27,0.46373,0.3048,0.80953,0.97998,0.90517,0.9498,0.74609,0.55048,0.33408,0.71123,0.000572054,0.000572054,0.000572054
51,1402.71,0.46578,0.30269,0.79835,0.94243,0.93818,0.94826,0.74096,0.54076,0.32555,0.70914,0.000561055,0.000561055,0.000561055
52,1430.01,0.45223,0.28946,0.80048,0.94573,0.92864,0.95868,0.73005,0.53065,0.3167,0.7092,0.000550056,0.000550056,0.000550056
53,1457.7,0.44602,0.28781,0.79843,0.93981,0.95188,0.96096,0.73116,0.55207,0.3207,0.7095,0.000539057,0.000539057,0.000539057
54,1484.92,0.45268,0.29709,0.79898,0.96357,0.93498,0.96431,0.73913,0.53821,0.30393,0.70687,0.000528058,0.000528058,0.000528058
55,1513.27,0.45558,0.29966,0.80319,0.96629,0.92347,0.96525,0.7462,0.54238,0.31581,0.70953,0.000517059,0.000517059,0.000517059
56,1541.31,0.45128,0.29474,0.80698,0.96311,0.93942,0.96736,0.73992,0.52027,0.31292,0.7071,0.00050606,0.00050606,0.00050606
57,1569.48,0.45061,0.28755,0.8044,0.94451,0.95575,0.95703,0.74451,0.52562,0.30853,0.70784,0.000495062,0.000495062,0.000495062
58,1597.68,0.43516,0.2823,0.79677,0.94896,0.93622,0.95787,0.74332,0.53056,0.29209,0.70844,0.000484063,0.000484063,0.000484063
59,1625.62,0.44379,0.27893,0.8098,0.95747,0.93541,0.95422,0.74526,0.52872,0.29489,0.70657,0.000473064,0.000473064,0.000473064
60,1653.88,0.43355,0.28121,0.80257,0.96436,0.91252,0.95186,0.74212,0.5302,0.29784,0.70682,0.000462065,0.000462065,0.000462065
61,1681.15,0.43365,0.27691,0.80049,0.95919,0.94187,0.96062,0.74447,0.52637,0.29045,0.70672,0.000451066,0.000451066,0.000451066
62,1709.11,0.43445,0.2792,0.79723,0.93664,0.94009,0.95769,0.74648,0.5331,0.31483,0.7078,0.000440067,0.000440067,0.000440067
63,1737.33,0.43661,0.28197,0.79497,0.94929,0.94404,0.95564,0.74538,0.52289,0.29848,0.70624,0.000429068,0.000429068,0.000429068
64,1765.57,0.41729,0.27325,0.7887,0.95433,0.94459,0.96175,0.74262,0.51725,0.29196,0.70539,0.000418069,0.000418069,0.000418069
65,1793.18,0.43202,0.27618,0.79318,0.94882,0.93819,0.95739,0.75564,0.52323,0.29492,0.707,0.00040707,0.00040707,0.00040707
66,1820.6,0.43984,0.28214,0.79923,0.96986,0.93497,0.96291,0.74407,0.51865,0.28984,0.70616,0.000396071,0.000396071,0.000396071
67,1847.95,0.44082,0.27948,0.79809,0.94937,0.94766,0.96754,0.74941,0.52012,0.30057,0.70803,0.000385073,0.000385073,0.000385073
68,1875.73,0.42967,0.2682,0.79502,0.94632,0.9403,0.95539,0.74822,0.52424,0.30898,0.70864,0.000374074,0.000374074,0.000374074
69,1903.05,0.41735,0.26753,0.79719,0.95273,0.95002,0.96694,0.7431,0.52419,0.29575,0.70842,0.000363075,0.000363075,0.000363075
70,1930.36,0.40959,0.26083,0.79823,0.96438,0.95737,0.96836,0.74842,0.51596,0.27734,0.70731,0.000352076,0.000352076,0.000352076
71,1958.35,0.39692,0.25671,0.79723,0.96875,0.94398,0.97111,0.74996,0.51087,0.27548,0.70652,0.000341077,0.000341077,0.000341077
72,1986.58,0.40607,0.26559,0.78977,0.96722,0.93394,0.97138,0.75858,0.51813,0.29059,0.70719,0.000330078,0.000330078,0.000330078
73,2015.02,0.4081,0.25668,0.79554,0.96372,0.9619,0.97479,0.7586,0.51901,0.28945,0.70619,0.000319079,0.000319079,0.000319079
74,2042.72,0.40883,0.25907,0.79916,0.97705,0.94688,0.97459,0.75266,0.50632,0.28277,0.7063,0.00030808,0.00030808,0.00030808
75,2071.04,0.40093,0.25219,0.79626,0.96236,0.95426,0.97209,0.75244,0.52268,0.26879,0.70684,0.000297081,0.000297081,0.000297081
76,2098.49,0.39919,0.25288,0.79399,0.94664,0.96818,0.97472,0.76231,0.51879,0.28228,0.70636,0.000286083,0.000286083,0.000286083
77,2126.95,0.39803,0.25105,0.78807,0.98237,0.93556,0.97342,0.76397,0.50344,0.27896,0.70573,0.000275084,0.000275084,0.000275084
78,2155.43,0.39712,0.24726,0.7993,0.96459,0.9458,0.97395,0.77087,0.50323,0.27353,0.70728,0.000264085,0.000264085,0.000264085
79,2180.31,0.3919,0.25294,0.79478,0.97204,0.94845,0.97811,0.77306,0.49485,0.27872,0.70553,0.000253086,0.000253086,0.000253086
80,2207.72,0.38841,0.24559,0.79427,0.95066,0.97053,0.97576,0.77387,0.49682,0.28325,0.70491,0.000242087,0.000242087,0.000242087
81,2236.11,0.38872,0.24884,0.78946,0.97133,0.94628,0.97492,0.77121,0.49152,0.2709,0.70272,0.000231088,0.000231088,0.000231088
82,2264.3,0.3698,0.23476,0.79333,0.97691,0.96276,0.97817,0.77134,0.49732,0.27447,0.70333,0.000220089,0.000220089,0.000220089
83,2292.57,0.39287,0.24755,0.79439,0.98226,0.95675,0.98052,0.76865,0.49278,0.2781,0.7052,0.00020909,0.00020909,0.00020909
84,2320.87,0.37132,0.24132,0.79032,0.977,0.9575,0.97471,0.77042,0.48635,0.277,0.70344,0.000198091,0.000198091,0.000198091
85,2349.14,0.38147,0.23768,0.79383,0.96684,0.96529,0.97845,0.76751,0.48424,0.27577,0.70417,0.000187092,0.000187092,0.000187092
86,2376.22,0.37577,0.23814,0.79285,0.96777,0.97299,0.97453,0.77302,0.47484,0.26812,0.70138,0.000176094,0.000176094,0.000176094
87,2404.61,0.37998,0.23986,0.79184,0.97727,0.9651,0.97638,0.77019,0.48116,0.26744,0.70229,0.000165095,0.000165095,0.000165095
88,2431.24,0.36552,0.23339,0.78962,0.98244,0.96067,0.97638,0.77087,0.47494,0.27213,0.70131,0.000154096,0.000154096,0.000154096
89,2459.55,0.3629,0.22771,0.79379,0.97236,0.96435,0.97576,0.76967,0.47283,0.26533,0.70206,0.000143097,0.000143097,0.000143097
90,2487.88,0.35748,0.22933,0.79461,0.95838,0.96891,0.97501,0.77536,0.4842,0.27135,0.70313,0.000132098,0.000132098,0.000132098
91,2516.88,0.41972,0.25498,0.77581,0.93121,0.95943,0.97024,0.75906,0.49748,0.27711,0.70254,0.000121099,0.000121099,0.000121099
92,2543.99,0.40752,0.24855,0.78484,0.94895,0.95806,0.96932,0.75989,0.48735,0.26624,0.70189,0.0001101,0.0001101,0.0001101
93,2570.67,0.39403,0.23822,0.77643,0.94511,0.9558,0.96986,0.76033,0.48738,0.26584,0.70317,9.91012e-05,9.91012e-05,9.91012e-05
94,2597.29,0.39087,0.23238,0.77867,0.95284,0.96933,0.97283,0.76612,0.49529,0.27309,0.70364,8.81023e-05,8.81023e-05,8.81023e-05
95,2624.99,0.38951,0.234,0.77549,0.952,0.95697,0.97048,0.76431,0.48561,0.26983,0.70206,7.71034e-05,7.71034e-05,7.71034e-05
96,2650.03,0.38712,0.23414,0.77331,0.95876,0.9688,0.97489,0.76654,0.47903,0.26332,0.70223,6.61045e-05,6.61045e-05,6.61045e-05
97,2674.04,0.37669,0.22463,0.78014,0.9557,0.95787,0.97316,0.76127,0.48226,0.26247,0.70316,5.51056e-05,5.51056e-05,5.51056e-05
98,2699.92,0.36812,0.22377,0.77366,0.95193,0.96574,0.97443,0.76745,0.48806,0.26037,0.70371,4.41067e-05,4.41067e-05,4.41067e-05
99,2726.92,0.37743,0.23081,0.77436,0.95686,0.95581,0.97532,0.77118,0.48187,0.25974,0.7031,3.31078e-05,3.31078e-05,3.31078e-05
100,2753.67,0.3665,0.22119,0.781,0.96655,0.95141,0.97585,0.77268,0.47547,0.25899,0.70247,2.21089e-05,2.21089e-05,2.21089e-05
